# Fitted Temperatures:
# Downstream (K): 1790.5	1.1
# Upstream (K): 1821.0	3.0
# 
# Datacolumns:
# wavelength(nm)	DS_data	DS_fit
5.999027669181562032e+02 1.216770552567779077e+03 1.169410043298563323e+03
6.001657843390433982e+02 1.240582680682460932e+03 1.173719887124365869e+03
6.004288003690031701e+02 1.218289653865478613e+03 1.178040664517099913e+03
6.006918150067531315e+02 1.245169585820335897e+03 1.182372386397051969e+03
6.009548282510108947e+02 1.252088243540547637e+03 1.186715063651347009e+03
6.012178401004945272e+02 1.237445554722633460e+03 1.191068707133885027e+03
6.014808505539216412e+02 1.226186538928815253e+03 1.195433327665242814e+03
6.017438596100097357e+02 1.262147267815067607e+03 1.199808936032620750e+03
6.020068672674769914e+02 1.264692559445766392e+03 1.204195542989780961e+03
6.022698735250404525e+02 1.268568551236172880e+03 1.208593159256936133e+03
6.025328783814185272e+02 1.250958561273518171e+03 1.213001795520744281e+03
6.027958818353286006e+02 1.281594443922668688e+03 1.217421462434164141e+03
6.030588838854886262e+02 1.284559760852974932e+03 1.221852170616453122e+03
6.033218845306164440e+02 1.294273598353076068e+03 1.226293930653053394e+03
6.035848837694300073e+02 1.303641767229909192e+03 1.230746753095535496e+03
6.038478816006468151e+02 1.292489251567786368e+03 1.235210648461527853e+03
6.041108780229849344e+02 1.287036204937694720e+03 1.239685627234668573e+03
6.043738730351619779e+02 1.305556360948698739e+03 1.244171699864491529e+03
6.046368666358960127e+02 1.298039395521866709e+03 1.248668876766413632e+03
6.048998588239047649e+02 1.326182885972463737e+03 1.253177168321628187e+03
6.051628495979061881e+02 1.318744819098624703e+03 1.257696584877053510e+03
6.054258389566183496e+02 1.338639326229916151e+03 1.262227136745259941e+03
6.056888268987588617e+02 1.336599270511242139e+03 1.266768834204410496e+03
6.059518134230457918e+02 1.338461868063185420e+03 1.271321687498185156e+03
6.062147985281970932e+02 1.333682064279297265e+03 1.275885706835735164e+03
6.064777822129307197e+02 1.347636550028389593e+03 1.280460902391586842e+03
6.067407644759645109e+02 1.366174727737259673e+03 1.285047284305602034e+03
6.070037453160164205e+02 1.367873124078179217e+03 1.289644862682902158e+03
6.072667247318048567e+02 1.356396237738780883e+03 1.294253647593815231e+03
6.075297027220473183e+02 1.355446585412200420e+03 1.298873649073791057e+03
6.077926792854619862e+02 1.396759911098682778e+03 1.303504877123357574e+03
6.080556544207669276e+02 1.417850498302859251e+03 1.308147341708045133e+03
6.083186281266799824e+02 1.378198258309357243e+03 1.312801052758337846e+03
6.085816004019193315e+02 1.412241724287082434e+03 1.317466020169589228e+03
6.088445712452031557e+02 1.402155486673528003e+03 1.322142253801983315e+03
6.091075406552491813e+02 1.381805945876428268e+03 1.326829763480453039e+03
6.093705086307761576e+02 1.428475611228447406e+03 1.331528558994646346e+03
6.096334751705013559e+02 1.434484047812365816e+03 1.336238650098814560e+03
6.098964402731431846e+02 1.435815532530408746e+03 1.340960046511807377e+03
6.101594039374200520e+02 1.416160895505264307e+03 1.345692757916990331e+03
6.104223661620500252e+02 1.420813345584670969e+03 1.350436793962178854e+03
6.106853269457508304e+02 1.444386137495966068e+03 1.355192164259564834e+03
6.109482862872411033e+02 1.442277656273429329e+03 1.359958878385703201e+03
6.112112441852386837e+02 1.423206474574702497e+03 1.364736945881403699e+03
6.114742006384618662e+02 1.450572146926402638e+03 1.369526376251707461e+03
6.117371556456290591e+02 1.457491815266311733e+03 1.374327178965809480e+03
6.120001092054582159e+02 1.434821641308632252e+03 1.379139363457000854e+03
6.122630613166677449e+02 1.460661700507146406e+03 1.383962939122627631e+03
6.125260119779757133e+02 1.451278255320101380e+03 1.388797915324001906e+03
6.127889611881001883e+02 1.456696121116125823e+03 1.393644301386384768e+03
6.130519089457599193e+02 1.435376902309506249e+03 1.398502106598903310e+03
6.133148552496728598e+02 1.455370508787241533e+03 1.403371340214497422e+03
6.135778000985575318e+02 1.490294029607299763e+03 1.408252011449876591e+03
6.138407434911318887e+02 1.474474848161951286e+03 1.413144129485436906e+03
6.141036854261144526e+02 1.472695794712422185e+03 1.418047703465252198e+03
6.143666259022236318e+02 1.464401536647816556e+03 1.422962742496962619e+03
6.146295649181776071e+02 1.519500250409288128e+03 1.427889255651765097e+03
6.148925024726951278e+02 1.512097194980613040e+03 1.432827251964344669e+03
6.151554385644936929e+02 1.484427825498020866e+03 1.437776740432797624e+03
6.154183731922927336e+02 1.462095254749404148e+03 1.442737730018634466e+03
6.156813063548099763e+02 1.487936771864987122e+03 1.447710229646663038e+03
6.159442380507638291e+02 1.507828561325346072e+03 1.452694248204972837e+03
6.162071682788730413e+02 1.512725838787067460e+03 1.457689794544878396e+03
6.164700970378559077e+02 1.515347276034916376e+03 1.462696877480854710e+03
6.167330243264308365e+02 1.509685644353040516e+03 1.467715505790510406e+03
6.169959501433165769e+02 1.516886828795490374e+03 1.472745688214503389e+03
6.172588744872310826e+02 1.549833853359789146e+03 1.477787433456509916e+03
6.175217973568929892e+02 1.566484150804923956e+03 1.482840750183165255e+03
6.177847187510211597e+02 1.532566545685559504e+03 1.487905647024047994e+03
6.180476386683337751e+02 1.544174933208515995e+03 1.492982132571562943e+03
6.183105571075495845e+02 1.550205387730035682e+03 1.498070215380950458e+03
6.185734740673869965e+02 1.549456189524766842e+03 1.503169903970210726e+03
6.188363895465644191e+02 1.530366138848970650e+03 1.508281206820062152e+03
6.190993035438007155e+02 1.540076211703351646e+03 1.513404132373888615e+03
6.193622160578142939e+02 1.550357585829721984e+03 1.518538689037697168e+03
6.196251270873240173e+02 1.565338145388398061e+03 1.523684885180068250e+03
6.198880366310481804e+02 1.566719668850540984e+03 1.528842729132097020e+03
6.201509446877054188e+02 1.570679980443802833e+03 1.534012229187364937e+03
6.204138512560147092e+02 1.588544083370975386e+03 1.539193393601887692e+03
6.206767563346942325e+02 1.574585409493717862e+03 1.544386230594051995e+03
6.209396599224630791e+02 1.590940705685296280e+03 1.549590748344592157e+03
6.212025620180397709e+02 1.598415607351690824e+03 1.554806954996538934e+03
6.214654626201429437e+02 1.595894336334014724e+03 1.560034858655155631e+03
6.217283617274914604e+02 1.631115416462864459e+03 1.565274467387921504e+03
6.219912593388039568e+02 1.632387311883276197e+03 1.570525789224461960e+03
6.222541554527989547e+02 1.614300531076000880e+03 1.575788832156526951e+03
6.225170500681956582e+02 1.600648555710854680e+03 1.581063604137927541e+03
6.227799431837124757e+02 1.632679750998688633e+03 1.586350113084503846e+03
6.230428347980683839e+02 1.623852671973053702e+03 1.591648366874071598e+03
6.233057249099821320e+02 1.616621735076893174e+03 1.596958373346396456e+03
6.235686135181725831e+02 1.673794643606810723e+03 1.602280140303135113e+03
6.238315006213584866e+02 1.631581563016164409e+03 1.607613675507792550e+03
6.240943862182585917e+02 1.662904821724460362e+03 1.612958986685695891e+03
6.243572703075919890e+02 1.674610276266424762e+03 1.618316081523938919e+03
6.246201528880773139e+02 1.658923545876436037e+03 1.623684967671345248e+03
6.248830339584335434e+02 1.685738882766526103e+03 1.629065652738430344e+03
6.251459135173797677e+02 1.655795363439866605e+03 1.634458144297358331e+03
6.254087915636346224e+02 1.708533511974685098e+03 1.639862449881892644e+03
6.256716680959173118e+02 1.704223101990107352e+03 1.645278576987376482e+03
6.259345431129462440e+02 1.685040737353863506e+03 1.650706533070668002e+03
6.261974166134408506e+02 1.711788266680447578e+03 1.656146325550134179e+03
6.264602885961202219e+02 1.734447916817255418e+03 1.661597961805586692e+03
6.267231590597031072e+02 1.714133391244090944e+03 1.667061449178233033e+03
6.269860280029081423e+02 1.708493585682328103e+03 1.672536794970675373e+03
6.272488954244549859e+02 1.704208589789825965e+03 1.678024006446852127e+03
6.275117613230623874e+02 1.716073666585539286e+03 1.683523090831991340e+03
6.277746256974493235e+02 1.738572481662495647e+03 1.689034055312583178e+03
6.280374885463351120e+02 1.760484858231159251e+03 1.694556907036359462e+03
6.283003498684386159e+02 1.746499715588520985e+03 1.700091653112221820e+03
6.285632096624789256e+02 1.769599245321696571e+03 1.705638300610236911e+03
6.288260679271750178e+02 1.751235762501190038e+03 1.711196856561578443e+03
6.290889246612464376e+02 1.763292378785984283e+03 1.716767327958522856e+03
6.293517798634119345e+02 1.772960279390878441e+03 1.722349721754379516e+03
6.296146335323909398e+02 1.776873054655682608e+03 1.727944044863468662e+03
6.298774856669023166e+02 1.778897731931095450e+03 1.733550304161087297e+03
6.301403362656653826e+02 1.777369659549844073e+03 1.739168506483493502e+03
6.304031853273994557e+02 1.813888599399586610e+03 1.744798658627845498e+03
6.306660328508236262e+02 1.799023042791323405e+03 1.750440767352183229e+03
6.309288788346570982e+02 1.777491496392160570e+03 1.756094839375379479e+03
6.311917232776190758e+02 1.820403968825968377e+03 1.761760881377129635e+03
6.314545661784291042e+02 1.799689388352710694e+03 1.767438899997918043e+03
6.317174075358059326e+02 1.836568949384523421e+03 1.773128901838957518e+03
6.319802473484693337e+02 1.821939251445378886e+03 1.778830893462187532e+03
6.322430856151385115e+02 1.814922629006828629e+03 1.784544881390246019e+03
6.325059223345327837e+02 1.860966141706089047e+03 1.790270872106404795e+03
6.327687575053713545e+02 1.851150509065866117e+03 1.796008872054567291e+03
6.330315911263733142e+02 1.853233134515171741e+03 1.801758887639224440e+03
6.332944231962586628e+02 1.823340302446081296e+03 1.807520925225451037e+03
6.335572537137466043e+02 1.805888278509295560e+03 1.813294991138846626e+03
6.338200826775560017e+02 1.859369350023473771e+03 1.819081091665493886e+03
6.340829100864068550e+02 1.868883845710372498e+03 1.824879233051991605e+03
6.343457359390183683e+02 1.878992048417676642e+03 1.830689421505357586e+03
6.346085602341102003e+02 1.833225977243922898e+03 1.836511663193046161e+03
6.348713829704014415e+02 1.851429607271841405e+03 1.842345964242892251e+03
6.351342041466115234e+02 1.876929825846220638e+03 1.848192330743093407e+03
6.353970237614606731e+02 1.884793467696442576e+03 1.854050768742211403e+03
6.356598418136672990e+02 1.863077538722076724e+03 1.859921284249074233e+03
6.359226583019518557e+02 1.882775774856653925e+03 1.865803883232847284e+03
6.361854732250334337e+02 1.891498161669217097e+03 1.871698571622902818e+03
6.364482865816316917e+02 1.901179141465996963e+03 1.877605355308885919e+03
6.367110983704662885e+02 1.890444516866577260e+03 1.883524240140622396e+03
6.369739085902567695e+02 1.937821656537360695e+03 1.889455231928129933e+03
6.372367172397224522e+02 1.903094019125893055e+03 1.895398336441591482e+03
6.374995243175832229e+02 1.921234974456837790e+03 1.901353559411302285e+03
6.377623298225587405e+02 1.922765106211279999e+03 1.907320906527685111e+03
6.380251337533685501e+02 1.939673761722363452e+03 1.913300383441240683e+03
6.382879361087323105e+02 1.944770925057165186e+03 1.919291995762531542e+03
6.385507368873696805e+02 1.957989245677093322e+03 1.925295749062162486e+03
6.388135360880006601e+02 1.906353106018546669e+03 1.931311648870744648e+03
6.390763337093446808e+02 1.904696687900203187e+03 1.937339700678885492e+03
6.393391297501214012e+02 1.929554172713043499e+03 1.943379909937171078e+03
6.396019242090507078e+02 1.957116752462751947e+03 1.949432282056123313e+03
6.398647170848521455e+02 1.959565872167618863e+03 1.955496822406199044e+03
6.401275083762460554e+02 1.948322035395234934e+03 1.961573536317776188e+03
6.403902980819516415e+02 1.979451497465920511e+03 1.967662429081097343e+03
6.406530862006889038e+02 1.942847553171208801e+03 1.973763505946265923e+03
6.409158727311777284e+02 1.974802591375247175e+03 1.979876772123251612e+03
6.411786576721380015e+02 2.020816820952524949e+03 1.986002232781847169e+03
6.414414410222891547e+02 1.965993973391232885e+03 1.992139893051633862e+03
6.417042227803518699e+02 1.973852544620114713e+03 1.998289758021998523e+03
6.419670029450455786e+02 2.004414738167394944e+03 2.004451832742085116e+03
6.422297815150900533e+02 2.015661702753366853e+03 2.010626122220787238e+03
6.424925584892052939e+02 2.006870465374833429e+03 2.016812631426731969e+03
6.427553338661114140e+02 2.016186075318434632e+03 2.023011365288264642e+03
6.430181076445282997e+02 2.020134101277687932e+03 2.029222328693424743e+03
6.432808798231758374e+02 2.033615394426522926e+03 2.035445526489924305e+03
6.435436504007742542e+02 2.049730677636418022e+03 2.041680963485147458e+03
6.438064193760432090e+02 2.042010824658498223e+03 2.047928644446108592e+03
6.440691867477028154e+02 2.058339382930841566e+03 2.054188574099466678e+03
6.443319525144734143e+02 2.064999739744480848e+03 2.060460757131490027e+03
6.445947166750750057e+02 2.069041400520587104e+03 2.066745198188048562e+03
6.448574792282272483e+02 2.081990671263450622e+03 2.073041901874581072e+03
6.451202401726507105e+02 2.076781961672825673e+03 2.079350872756104309e+03
6.453829995070652785e+02 2.082986209779060573e+03 2.085672115357192524e+03
6.456457572301909522e+02 2.103202726220105887e+03 2.092005634161942453e+03
6.459085133407481862e+02 2.090466209839100429e+03 2.098351433613991503e+03
6.461712678374569805e+02 2.114343927501595317e+03 2.104709518116492745e+03
6.464340207190376759e+02 2.141037917710769761e+03 2.111079892032078078e+03
6.466967719842101587e+02 2.122366516395105464e+03 2.117462559682873689e+03
6.469595216316948836e+02 2.160988198663549156e+03 2.123857525350493233e+03
6.472222696602117367e+02 2.159679924544025653e+03 2.130264793275966440e+03
6.474850160684815137e+02 2.202365414230764600e+03 2.136684367659835061e+03
6.477477608552241009e+02 2.219171927497456636e+03 2.143116252662021452e+03
6.480105040191600665e+02 2.230135733245296251e+03 2.149560452401902694e+03
6.482732455590092968e+02 2.240979128643971762e+03 2.156016970958256479e+03
6.485359854734922465e+02 2.252265170774998751e+03 2.162485812369269297e+03
6.487987237613295974e+02 2.197961238338148178e+03 2.168966980632527793e+03
6.490614604212412360e+02 2.185528717143957692e+03 2.175460479704986028e+03
6.493241954519477304e+02 2.168317163094872285e+03 2.181966313502977300e+03
6.495869288521695353e+02 2.167015913318153252e+03 2.188484485902209599e+03
6.498496606206269917e+02 2.206811496924588027e+03 2.195015000737722858e+03
6.501123907560405542e+02 2.187024526441369289e+03 2.201557861803917149e+03
6.503751192571306774e+02 2.255797673876092631e+03 2.208113072854529491e+03
6.506378461226177023e+02 2.263395698989362700e+03 2.214680637602616571e+03
6.509005713512219700e+02 2.245862661288034815e+03 2.221260559720565197e+03
6.511632949416643896e+02 2.282170409232925522e+03 2.227852842840074118e+03
6.514260168926650749e+02 2.287642873874433462e+03 2.234457490552127183e+03
6.516887372029450489e+02 2.328359515964765251e+03 2.241074506407056106e+03
6.519514558712240841e+02 2.293899952756195944e+03 2.247703893914418131e+03
6.522141728962234311e+02 2.258856494832644785e+03 2.254345656543111545e+03
6.524768882766634306e+02 2.327668706776590625e+03 2.260999797721293362e+03
6.527396020112646511e+02 2.344103775732985014e+03 2.267666320836391606e+03
6.530023140987477746e+02 2.327061870086075942e+03 2.274345229235105307e+03
6.532650245378332556e+02 2.313337717214406894e+03 2.281036526223388591e+03
6.535277333272420037e+02 2.376916468808944501e+03 2.287740215066477049e+03
6.537904404656944735e+02 2.330872133705961460e+03 2.294456298988838626e+03
6.540531459519118016e+02 2.375575955770770634e+03 2.301184781174202726e+03
6.543158497846138744e+02 2.355010269345224060e+03 2.307925664765530200e+03
6.545785519625220559e+02 2.349482267520797450e+03 2.314678952865040628e+03
6.548412524843568008e+02 2.403927037997361822e+03 2.321444648534176395e+03
6.551039513488391322e+02 2.365253946163985347e+03 2.328222754793646345e+03
6.553666485546897320e+02 2.402795337850897795e+03 2.335013274623349844e+03
6.556293441006291687e+02 2.365449338944070405e+03 2.341816210962446803e+03
6.558920379853784652e+02 2.399520207793814279e+03 2.348631566709317212e+03
