# Fitted Temperatures:
# Downstream (K): 2388.7	1.3
# Upstream (K): 2374.9	1.4
# 
# Datacolumns:
# wavelength(nm)	DS_data	DS_fit
5.999248107355070943e+02 8.302629757380824458e+02 8.504422548130681889e+02
6.001880779860983921e+02 8.417615570822450763e+02 8.523242046492704276e+02
6.004513432336618735e+02 8.521854060568493878e+02 8.542078282820348250e+02
6.007146064769239047e+02 8.375845312015088666e+02 8.560931220869762228e+02
6.009778677146108521e+02 8.584156224876946908e+02 8.579800824345842329e+02
6.012411269454495368e+02 8.500889500560751912e+02 8.598687056902658696e+02
6.015043841681660979e+02 8.587872171956666989e+02 8.617589882143560089e+02
6.017676393814874700e+02 8.639547365539056045e+02 8.636509263621627497e+02
6.020308925841400196e+02 8.624342371554514557e+02 8.655445164839851486e+02
6.022941437748502267e+02 8.587337953738788201e+02 8.674397549251539203e+02
6.025573929523451397e+02 8.552227236868587852e+02 8.693366380260526967e+02
6.028206401153511251e+02 8.695268114849029644e+02 8.712351621221482674e+02
6.030838852625951176e+02 8.367678580957340273e+02 8.731353235440252547e+02
6.033471283928034836e+02 8.624881659970410510e+02 8.750371186174069180e+02
6.036103695047032716e+02 8.552610822709884815e+02 8.769405436631897146e+02
6.038736085970213026e+02 8.619216038227922354e+02 8.788455949974800205e+02
6.041368456684842840e+02 8.671010260784776165e+02 8.807522689316047035e+02
6.044000807178190371e+02 8.534689047234853660e+02 8.826605617721554609e+02
6.046633137437527239e+02 8.667918615794058042e+02 8.845704698210187189e+02
6.049265447450119382e+02 8.652221089292714851e+02 8.864819893753881388e+02
6.051897737203238421e+02 8.692546096325763756e+02 8.883951167278161165e+02
6.054530006684153705e+02 8.778366440801763702e+02 8.903098481662282211e+02
6.057162255880133443e+02 8.929856788255932543e+02 8.922261799739537764e+02
6.059794484778449259e+02 8.797051899749202448e+02 8.941441084297614452e+02
6.062426693366372774e+02 8.855260656125946070e+02 8.960636298078834443e+02
6.065058881631173335e+02 8.725735418235644829e+02 8.979847403780435116e+02
6.067691049560123702e+02 8.840276364596923031e+02 8.999074364054913531e+02
6.070323197140494358e+02 9.003380170013775796e+02 9.018317141510217425e+02
6.072955324359560336e+02 8.672701564767700120e+02 9.037575698710180632e+02
6.075587431204589848e+02 8.869523463591687005e+02 9.056849998174681105e+02
6.078219517662854514e+02 8.686156816266438909e+02 9.076140002379943326e+02
6.080851583721630504e+02 9.058292034420011305e+02 9.095445673758972589e+02
6.083483629368189440e+02 8.903296500504610549e+02 9.114766974701611844e+02
6.086115654589807491e+02 9.018464858926782881e+02 9.134103867555047600e+02
6.088747659373754004e+02 9.026127823146182436e+02 9.153456314623922481e+02
6.091379643707305149e+02 9.043645005610385397e+02 9.172824278170771777e+02
6.094011607577737095e+02 9.111976583067779529e+02 9.192207720416212169e+02
6.096643550972319190e+02 9.119954079933983166e+02 9.211606603539210028e+02
6.099275473878332150e+02 9.092112086710689027e+02 9.231020889677541845e+02
6.101907376283048734e+02 9.064150605181193896e+02 9.250450540927791963e+02
6.104539258173741700e+02 9.092196096400442684e+02 9.269895519345935782e+02
6.107171119537691766e+02 9.107669721758222749e+02 9.289355786947454590e+02
6.109802960362175099e+02 9.306906241688652699e+02 9.308831305707622050e+02
6.112434780634463323e+02 9.204287955473174634e+02 9.328322037561820252e+02
6.115066580341836016e+02 9.325914891309065524e+02 9.347827944405900098e+02
6.117698359471570484e+02 9.342850692179453063e+02 9.367348988096362064e+02
6.120330118010945171e+02 9.185305824197206448e+02 9.386885130450666566e+02
6.122961855947236245e+02 9.411157239022073782e+02 9.406436333247502262e+02
6.125593573267722149e+02 9.325059461963919603e+02 9.426002558227112331e+02
6.128225269959681327e+02 9.317110783660308471e+02 9.445583767091627578e+02
6.130856946010392221e+02 9.313428901404139424e+02 9.465179921505157381e+02
6.133488601407132137e+02 9.265534220634100393e+02 9.484790983094281955e+02
6.136120236137182928e+02 9.287014045294171183e+02 9.504416913448239939e+02
6.138751850187821901e+02 9.391518465614709612e+02 9.524057674119185322e+02
6.141383443546333183e+02 9.544130913635959814e+02 9.543713226622575121e+02
6.144015016199994079e+02 9.421539431906317077e+02 9.563383532437271697e+02
6.146646568136083033e+02 9.607196364746506561e+02 9.583068553006015691e+02
6.149278099341884172e+02 9.532460138187055918e+02 9.602768249735606787e+02
6.151909609804677075e+02 9.409110195854143512e+02 9.622482583997182246e+02
6.154541099511742459e+02 9.524151943440913328e+02 9.642211517126535227e+02
6.157172568450364452e+02 9.449770999266014542e+02 9.661955010424361490e+02
6.159804016607824906e+02 9.535001835454402226e+02 9.681713025156576578e+02
6.162435443971403402e+02 9.666088839148807210e+02 9.701485522554489762e+02
6.165066850528385203e+02 9.718001913834362995e+02 9.721272463815316769e+02
6.167698236266052163e+02 9.512014638905665151e+02 9.741073810102138850e+02
6.170329601171688410e+02 9.730619466599749785e+02 9.760889522544480315e+02
6.172960945232579206e+02 9.656359748748506036e+02 9.780719562238358549e+02
6.175592268436002996e+02 9.687114058482592327e+02 9.800563890246688743e+02
6.178223570769249591e+02 9.761874199919034254e+02 9.820422467599564698e+02
6.180854852219600843e+02 9.829847561156935853e+02 9.840295255294458912e+02
6.183486112774343155e+02 9.739370637659292242e+02 9.860182214296553411e+02
6.186117352420761790e+02 9.931009740924519065e+02 9.880083305538997820e+02
6.188748571146139739e+02 9.873926434882145031e+02 9.899998489923167426e+02
6.191379768937764538e+02 9.806723317675265434e+02 9.919927728319007656e+02
6.194010945782923727e+02 9.699279395620289961e+02 9.939870981565231887e+02
6.196642101668901432e+02 9.877332496825686121e+02 9.959828210469646592e+02
6.199273236582988602e+02 9.920533097123199013e+02 9.979799375809369621e+02
6.201904350512468227e+02 9.988395780140435818e+02 9.999784438331188312e+02
6.204535443444627845e+02 1.002990319169910663e+03 1.001978335875167545e+03
6.207166515366756130e+02 9.928418700790546154e+02 1.003979609775772474e+03
6.209797566266141757e+02 1.018708884394187180e+03 1.005982261600656670e+03
6.212428596130073402e+02 9.818111612071282934e+02 1.007986287412616434e+03
6.215059604945838601e+02 1.001670874681327064e+03 1.009991683271548254e+03
6.217690592700727166e+02 1.015665529011686544e+03 1.011998445234470751e+03
6.220321559382028909e+02 1.001128196711635837e+03 1.014006569355559236e+03
6.222952504977032504e+02 1.018036703873412421e+03 1.016016051686165611e+03
6.225583429473026627e+02 1.009599530994184647e+03 1.018026888274850080e+03
6.228214332857306772e+02 1.022168815462270345e+03 1.020039075167409578e+03
6.230845215117159341e+02 1.017974121854435680e+03 1.022052608406891750e+03
6.233476076239874146e+02 1.009177312710211595e+03 1.024067484033642131e+03
6.236106916212746683e+02 1.022378040413715780e+03 1.026083698085315973e+03
6.238737735023066762e+02 1.024920986643157676e+03 1.028101246596913370e+03
6.241368532658124195e+02 1.030594100508704059e+03 1.030120125600796428e+03
6.243999309105214479e+02 1.015894653649365409e+03 1.032140331126728370e+03
6.246630064351627425e+02 1.019400549582868621e+03 1.034161859201890366e+03
6.249260798384657392e+02 1.037101848523661829e+03 1.036184705850914042e+03
6.251891511191601012e+02 1.019238635540346536e+03 1.038208867095909227e+03
6.254522202759745824e+02 1.024701452737162526e+03 1.040234338956474630e+03
6.257152873076388460e+02 1.033468760983158745e+03 1.042261117449750145e+03
6.259783522128824416e+02 1.012111486566081567e+03 1.044289198590426622e+03
6.262414149904345777e+02 1.040882974354999533e+03 1.046318578390771791e+03
6.265044756390248040e+02 1.028348930225154845e+03 1.048349252860669367e+03
6.267675341573828973e+02 1.036928323154644204e+03 1.050381218007627922e+03
6.270305905442380663e+02 1.036049940111679916e+03 1.052414469836823400e+03
6.272936447983202015e+02 1.049277137703825701e+03 1.054449004351112535e+03
6.275566969183586252e+02 1.038752291702398452e+03 1.056484817551069682e+03
6.278197469030830007e+02 1.056963120490417168e+03 1.058521905435005010e+03
6.280827947512232186e+02 1.057476067384388216e+03 1.060560263998995651e+03
6.283458404615089421e+02 1.054691839443284152e+03 1.062599889236911167e+03
6.286088840326699483e+02 1.050327041982998026e+03 1.064640777140437422e+03
6.288719254634360141e+02 1.059564131460243061e+03 1.066682923699105231e+03
6.291349647525368027e+02 1.066326162938012430e+03 1.068726324900312193e+03
6.293980018987022049e+02 1.066416489695632208e+03 1.070770976729351787e+03
6.296610369006622250e+02 1.064068828455655876e+03 1.072816875169442255e+03
6.299240697571466399e+02 1.077444298573773949e+03 1.074864016201746153e+03
6.301871004668857950e+02 1.064168669317885133e+03 1.076912395805403548e+03
6.304501290286091262e+02 1.067023381021575915e+03 1.078962009957544069e+03
6.307131554410467515e+02 1.068796213073585022e+03 1.081012854633335564e+03
6.309761797029290165e+02 1.073722841765103567e+03 1.083064925805989560e+03
6.312392018129856979e+02 1.086686286523494800e+03 1.085118219446785815e+03
6.315022217699471412e+02 1.087416799011717330e+03 1.087172731525122572e+03
6.317652395725432370e+02 1.077993410153527066e+03 1.089228458008512462e+03
6.320282552195043309e+02 1.094265195345248003e+03 1.091285394862626845e+03
6.322912687095607680e+02 1.097108610192573906e+03 1.093343538051315136e+03
6.325542800414424391e+02 1.086330934670171246e+03 1.095402883536627769e+03
6.328172892138800307e+02 1.101123316904087460e+03 1.097463427278846666e+03
6.330802962256034334e+02 1.093854304741075339e+03 1.099525165236507064e+03
6.333433010753434473e+02 1.086040527888192855e+03 1.101588093366431849e+03
6.336063037618301905e+02 1.108466203099113500e+03 1.103652207623735194e+03
6.338693042837937810e+02 1.100503117965887213e+03 1.105717503961868488e+03
6.341323026399653600e+02 1.106976314330460355e+03 1.107783978332645120e+03
6.343952988290748181e+02 1.085412859600136926e+03 1.109851626686250938e+03
6.346582928498530691e+02 1.117175262218191392e+03 1.111920444971278812e+03
6.349212847010304586e+02 1.121085369472159300e+03 1.113990429134756596e+03
6.351842743813375591e+02 1.114219618154558020e+03 1.116061575122166687e+03
6.354472618895050573e+02 1.114409983700960765e+03 1.118133878877467396e+03
6.357102472242634121e+02 1.130613447338063679e+03 1.120207336343125917e+03
6.359732303843433101e+02 1.110737311392221500e+03 1.122281943460143793e+03
6.362362113684757787e+02 1.120690353784886611e+03 1.124357696168076245e+03
6.364991901753916181e+02 1.132229001116330437e+03 1.126434590405057179e+03
6.367621668038211737e+02 1.128681344678908317e+03 1.128512622107821926e+03
6.370251412524954731e+02 1.133415550274598445e+03 1.130591787211740211e+03
6.372881135201453162e+02 1.153585307766210917e+03 1.132672081650835707e+03
6.375510836055018444e+02 1.132944277903532338e+03 1.134753501357814912e+03
6.378140515072954031e+02 1.136351892251216441e+03 1.136836042264074422e+03
6.380770172242577019e+02 1.151509473540469344e+03 1.138919700299752776e+03
6.383399807551191998e+02 1.143834662918478443e+03 1.141004471393734775e+03
6.386029420986111518e+02 1.140981577570317768e+03 1.143090351473683313e+03
6.388659012534644717e+02 1.153901482219845320e+03 1.145177336466056659e+03
6.391288582184101870e+02 1.150270156482207312e+03 1.147265422296145971e+03
6.393918129921796663e+02 1.157968475344645640e+03 1.149354604888091217e+03
6.396547655735037097e+02 1.141923351524712871e+03 1.151444880164899587e+03
6.399177159611137995e+02 1.157397926280503043e+03 1.153536244048482786e+03
6.401806641537413043e+02 1.150487466115412190e+03 1.155628692459674767e+03
6.404436101501171379e+02 1.156404474261421683e+03 1.157722221318251968e+03
6.407065539489725552e+02 1.145456070366737322e+03 1.159816826542957187e+03
6.409694955490394932e+02 1.156424208549970899e+03 1.161912504051540736e+03
6.412324349490485247e+02 1.174644088952626589e+03 1.164009249760754528e+03
6.414953721477315867e+02 1.171710138531949497e+03 1.166107059586405512e+03
6.417583071438199340e+02 1.153716308027048626e+03 1.168205929443357718e+03
6.420212399360448217e+02 1.167591503541668544e+03 1.170305855245567727e+03
6.422841705231380729e+02 1.165542692785591726e+03 1.172406832906107184e+03
6.425470989038310563e+02 1.165108402685228157e+03 1.174508858337183483e+03
6.428100250768553678e+02 1.160652608669581923e+03 1.176611927450159556e+03
6.430729490409426035e+02 1.171436484794562602e+03 1.178716036155592747e+03
6.433358707948244728e+02 1.168727809193208259e+03 1.180821180363236635e+03
6.435987903372325718e+02 1.192287562741404599e+03 1.182927355982081281e+03
6.438617076668986101e+02 1.191627960231319094e+03 1.185034558920373684e+03
6.441246227825546384e+02 1.182499062768354406e+03 1.187142785085636206e+03
6.443875356829316843e+02 1.207238982311925383e+03 1.189252030384687941e+03
6.446504463667622531e+02 1.190927180431141323e+03 1.191362290723678825e+03
6.449133548327780545e+02 1.182834121453828857e+03 1.193473562008106910e+03
6.451762610797106845e+02 1.179158025366985612e+03 1.195585840142830875e+03
6.454391651062921937e+02 1.186959533462932086e+03 1.197699121032116182e+03
6.457020669112549740e+02 1.194333050720764504e+03 1.199813400579643030e+03
6.459649664933303939e+02 1.187663765977485582e+03 1.201928674688522051e+03
6.462278638512507314e+02 1.202897579940571859e+03 1.204044939261336822e+03
6.464907589837478099e+02 1.190656301992538602e+03 1.206162190200152509e+03
6.467536518895541349e+02 1.198480285447086089e+03 1.208280423406547015e+03
6.470165425674016433e+02 1.197991557660062199e+03 1.210399634781625764e+03
6.472794310160223858e+02 1.203899115215741631e+03 1.212519820226046704e+03
