# Fitted Temperatures:
# Downstream (K): 2388.7	1.3
# Upstream (K): 2374.9	1.4
# 
# Datacolumns:
# wavelength(nm)	US_data	US_fit
5.999248107355070943e+02 5.481060824130679521e+02 5.468953591767384523e+02
6.001880779860983921e+02 5.399945204834834840e+02 5.481196554283241085e+02
6.004513432336618735e+02 5.452890008579815913e+02 5.493450780990837075e+02
6.007146064769239047e+02 5.469363061589867812e+02 5.505716248761819998e+02
6.009778677146108521e+02 5.525731466689726403e+02 5.517992934432235188e+02
6.012411269454495368e+02 5.541916091388985706e+02 5.530280814802655414e+02
6.015043841681660979e+02 5.502286402088292334e+02 5.542579866638392332e+02
6.017676393814874700e+02 5.445487710424632724e+02 5.554890066669668158e+02
6.020308925841400196e+02 5.586407610487340207e+02 5.567211391591858956e+02
6.022941437748502267e+02 5.681291311015166912e+02 5.579543818065581036e+02
6.025573929523451397e+02 5.614930125867365405e+02 5.591887322717027473e+02
6.028206401153511251e+02 5.530012361576519879e+02 5.604241882138030633e+02
6.030838852625951176e+02 5.675714600036241109e+02 5.616607472886321375e+02
6.033471283928034836e+02 5.452524782937784948e+02 5.628984071485672303e+02
6.036103695047032716e+02 5.604319213915086948e+02 5.641371654426166060e+02
6.038736085970213026e+02 5.643399843857345104e+02 5.653770198164305611e+02
6.041368456684842840e+02 5.565295960369639943e+02 5.666179679123241613e+02
6.044000807178190371e+02 5.650195577846772039e+02 5.678600073692924752e+02
6.046633137437527239e+02 5.591482947011634224e+02 5.691031358230380874e+02
6.049265447450119382e+02 5.671506422878741205e+02 5.703473509059820117e+02
6.051897737203238421e+02 5.597824660957529659e+02 5.715926502472829043e+02
6.054530006684153705e+02 5.581870032967767656e+02 5.728390314728605972e+02
6.057162255880133443e+02 5.654254071826738937e+02 5.740864922054129238e+02
6.059794484778449259e+02 5.748560640426283044e+02 5.753350300644335675e+02
6.062426693366372774e+02 5.736743966777352171e+02 5.765846426662342310e+02
6.065058881631173335e+02 5.724122750904909935e+02 5.778353276239565730e+02
6.067691049560123702e+02 5.727819674557098324e+02 5.790870825475992660e+02
6.070323197140494358e+02 5.762549821874969211e+02 5.803399050440310702e+02
6.072955324359560336e+02 5.661865607801213400e+02 5.815937927170156172e+02
6.075587431204589848e+02 5.649743667139729268e+02 5.828487431672213006e+02
6.078219517662854514e+02 5.700142436392974332e+02 5.841047539922452643e+02
6.080851583721630504e+02 5.763566497881147370e+02 5.853618227866384132e+02
6.083483629368189440e+02 5.764062098958528395e+02 5.866199471419112115e+02
6.086115654589807491e+02 5.824619739418427571e+02 5.878791246465644917e+02
6.088747659373754004e+02 5.839873074164000855e+02 5.891393528860960487e+02
6.091379643707305149e+02 5.772656824567512786e+02 5.904006294430322441e+02
6.094011607577737095e+02 5.835558109942154488e+02 5.916629518969405126e+02
6.096643550972319190e+02 5.830913532609675940e+02 5.929263178244418668e+02
6.099275473878332150e+02 5.786983384635195762e+02 5.941907247992442080e+02
6.101907376283048734e+02 5.915600275935719310e+02 5.954561703921473281e+02
6.104539258173741700e+02 5.849552416718584027e+02 5.967226521710662155e+02
6.107171119537691766e+02 5.834134069060175989e+02 5.979901677010568619e+02
6.109802960362175099e+02 5.928563446050883385e+02 5.992587145443224017e+02
6.112434780634463323e+02 5.882662793593747210e+02 6.005282902602355080e+02
6.115066580341836016e+02 5.940189968913460916e+02 6.017988924053679511e+02
6.117698359471570484e+02 5.950752524021334011e+02 6.030705185334934413e+02
6.120330118010945171e+02 5.956025951021318861e+02 6.043431661956154812e+02
6.122961855947236245e+02 5.988606477511305002e+02 6.056168329399820323e+02
6.125593573267722149e+02 6.105453128730031267e+02 6.068915163121095020e+02
