# Wavelength calibration
# Source: 20260810_135352_C001H001S0001000001.tif
# Grating center wavelength: 700.0 nm
# Polynomial (highest order first): [np.float64(-1.082415994543798e-06), np.float64(0.17719322045398636), np.float64(610.0072640802747)]
# RMS residual: 0.02939 nm
#
# pixel  wavelength_nm  species  residual_nm
  24.465    614.3063  Ne I   -0.0353
  35.536    616.3594  Ne I   +0.0567
  66.025    621.7281  Ne I   +0.0264
  94.055    626.6495  Ne I   -0.0141
 132.356    633.4428  Ne I   +0.0019
 159.964    638.2991  Ne I   -0.0251
 170.818    640.2246  Ne I   -0.0189
 229.702    650.6528  Ne I   +0.0010
 244.586    653.2882  Ne I   +0.0067
 282.187    659.8953  Ne I   -0.0273
 326.973    667.8276  Ne I   -0.0013
 348.877    671.7043  Ne I   +0.0101
 469.381    692.9467  Ne I   +0.0068
 527.793    703.2413  Ne I   +0.0142
 648.874    724.5167  Ne I   -0.0110
 759.217    743.8898  Ne I   -0.0216
 796.199    750.3869  Ar I   -0.0153
 813.803    753.5774  Ne I   +0.0866
 870.953    763.5106  Ar I   -0.0026
 921.997    772.4207  Ar I   -0.0381
#
# pixel  wavelength_nm  counts
    0   610.0073  11660.0
    1   610.1845  11179.0
    2   610.3616  10312.0
    3   610.5388  10323.0
    4   610.7160  10325.0
    5   610.8932  10526.0
    6   611.0704  10345.0
    7   611.2476  9988.0
    8   611.4247  9834.0
    9   611.6019  9984.0
   10   611.7791  10084.0
   11   611.9563  10300.0
   12   612.1334  9324.0
   13   612.3106  9728.0
   14   612.4878  10264.0
   15   612.6649  10029.0
   16   612.8421  9745.0
   17   613.0192  10150.0
   18   613.1964  10061.0
   19   613.3735  10424.0
   20   613.5507  10397.0
   21   613.7278  11099.0
   22   613.9050  11963.0
   23   614.0821  12776.0
   24   614.2593  13359.0
   25   614.4364  13512.0
   26   614.6136  12756.0
   27   614.7907  11618.0
   28   614.9678  10951.0
   29   615.1450  10330.0
   30   615.3221  9929.0
   31   615.4992  9709.0
   32   615.6763  9905.0
   33   615.8535  10135.0
   34   616.0306  10546.0
   35   616.2077  10705.0
   36   616.3848  10704.0
   37   616.5619  10505.0
   38   616.7390  10138.0
   39   616.9162  9784.0
   40   617.0933  9637.0
   41   617.2704  9568.0
   42   617.4475  9459.0
   43   617.6246  9446.0
   44   617.8017  9578.0
   45   617.9788  9663.0
