# Wavelength calibration
# Source: 20260810_135352_C001H001S0001000001.tif
# Grating center wavelength: 700.0 nm
# Polynomial (highest order first): [np.float64(-6.295521306749217e-09), np.float64(7.656898793276602e-06), np.float64(-0.16204872591505995), np.float64(815.8693669957287)]
# RMS residual: 0.25717 nm
#
# pixel  wavelength_nm  species  residual_nm
  24.683    811.5311  Ar I   -0.3429
  35.623    810.3693  Ar I   +0.2632
  94.046    800.6157  Ar I   -0.0761
 132.655    794.8176  Ar I   +0.3248
 269.064    772.3761  Ar I   -0.3235
 326.972    763.5106  Ar I   +0.0281
 404.755    751.4652  Ar I   +0.3488
 410.779    750.3869  Ar I   +0.2282
 482.755    738.3980  Ar I   -0.3177
 492.195    737.2118  Ar I   -0.0023
 546.100    728.1349  He I   -0.4978
 595.905    720.6980  Ar I   +0.0075
 634.908    714.7042  Ar I   +0.2456
 684.214    706.5188  He I   -0.0425
 748.070    696.5431  Ar I   +0.2481
 922.784    667.8151  He I   -0.0915
#
# pixel  wavelength_nm  counts
    0   815.8694  11660.0
    1   815.7073  11179.0
    2   815.5453  10312.0
    3   815.3833  10323.0
    4   815.2213  10325.0
    5   815.0593  10526.0
    6   814.8973  10345.0
    7   814.7354  9988.0
    8   814.5735  9834.0
    9   814.4115  9984.0
   10   814.2496  10084.0
   11   814.0877  10300.0
   12   813.9259  9324.0
   13   813.7640  9728.0
   14   813.6022  10264.0
   15   813.4403  10029.0
   16   813.2785  9745.0
   17   813.1167  10150.0
   18   812.9549  10061.0
   19   812.7932  10424.0
   20   812.6314  10397.0
   21   812.4697  11099.0
   22   812.3079  11963.0
   23   812.1462  12776.0
   24   811.9845  13359.0
   25   811.8228  13512.0
   26   811.6612  12756.0
   27   811.4995  11618.0
   28   811.3379  10951.0
   29   811.1762  10330.0
   30   811.0146  9929.0
   31   810.8530  9709.0
   32   810.6914  9905.0
   33   810.5299  10135.0
   34   810.3683  10546.0
   35   810.2068  10705.0
   36   810.0452  10704.0
   37   809.8837  10505.0
   38   809.7222  10138.0
   39   809.5607  9784.0
   40   809.3993  9637.0
   41   809.2378  9568.0
   42   809.0764  9459.0
   43   808.9149  9446.0
   44   808.7535  9578.0
   45   808.5921  9663.0
   46   808.4307  9670.0
   47   808.2693  9367.0
   48   808.1080  9379.0
   49   807.9466  9421.0
   50   807.7853  9381.0
   51   807.6240  9373.0
   52   807.4627  9473.0
   53   807.3014  9471.0
   54   807.1401  9347.0
   55   806.9788  9280.0
   56   806.8175  9297.0
   57   806.6563  9359.0
   58   806.4951  9378.0
   59   806.3339  9495.0
   60   806.1726  9280.0
   61   806.0115  9355.0
   62   805.8503  9427.0
   63   805.6891  9457.0
   64   805.5280  9389.0
   65   805.3668  9747.0
   66   805.2057  9932.0
   67   805.0446  9933.0
   68   804.8835  9404.0
   69   804.7224  9283.0
   70   804.5613  9159.0
   71   804.4003  9191.0
   72   804.2392  9041.0
   73   804.0782  8953.0
   74   803.9171  8941.0
   75   803.7561  8890.0
   76   803.5951  9146.0
   77   803.4341  9005.0
   78   803.2732  9090.0
   79   803.1122  9206.0
   80   802.9512  8905.0
   81   802.7903  8941.0
   82   802.6294  8904.0
   83   802.4685  8910.0
   84   802.3076  9135.0
   85   802.1467  9065.0
   86   801.9858  8972.0
   87   801.8249  9043.0
   88   801.6641  8909.0
   89   801.5032  9180.0
   90   801.3424  9294.0
   91   801.1816  9860.0
   92   801.0208  10186.0
   93   800.8600  10872.0
   94   800.6992  11200.0
   95   800.5384  10910.0
   96   800.3777  10196.0
   97   800.2169  9824.0
   98   800.0562  9444.0
   99   799.8955  9171.0
  100   799.7348  8898.0
  101   799.5741  8873.0
  102   799.4134  8799.0
  103   799.2527  8785.0
  104   799.0920  8835.0
  105   798.9314  8815.0
  106   798.7707  8757.0
  107   798.6101  8886.0
  108   798.4495  8857.0
  109   798.2889  8987.0
  110   798.1283  8944.0
  111   797.9677  8867.0
  112   797.8071  8960.0
  113   797.6465  9064.0
  114   797.4860  9190.0
  115   797.3255  9389.0
  116   797.1649  9348.0
  117   797.0044  9308.0
  118   796.8439  9058.0
  119   796.6834  8820.0
  120   796.5229  8781.0
  121   796.3624  8729.0
  122   796.2020  8814.0
  123   796.0415  8867.0
  124   795.8811  8706.0
  125   795.7206  8740.0
  126   795.5602  8693.0
  127   795.3998  8806.0
  128   795.2394  8808.0
  129   795.0790  9086.0
  130   794.9186  9591.0
  131   794.7582  9967.0
  132   794.5979  10059.0
  133   794.4375  10104.0
  134   794.2772  9802.0
  135   794.1168  9338.0
  136   793.9565  8877.0
  137   793.7962  8667.0
  138   793.6359  8621.0
